SystemNotes,guproplanid,guaccountid,ExpiryDate,ProPlanCode,B_Isvalid,CAFReserve,SMSSID,VCNO,STBNO,Status,CASType,RefNo,NextRenewal,LCOCode,GULCOID,SubsName,RowNumber,MainKey,DateofActivated,TotalB2BAmount,TotalB2CAmount,BillingDetails,id
0,P000100010000100001000000427,M000100010000100001003380370,4/11/2019 4:37:42 AM,DD RAJKOT,0,,3380370,34BDFA5F08B7,400013030161813,Active,CISCO,-,-,LCORK680,M000100010000100001000018899,Dummy,1,CISCO,,117.33,216.53,,1
0,P000100010000100001000000427,M000100010000100001007903152,4/11/2019 4:37:41 AM,DD RAJKOT,0,,7903152,000097085997,350115253108445,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,3,006315DB,,117.33,216.53,,3
0,P000100010000100001000000427,M000100010000100001007903169,4/11/2019 4:37:41 AM,DD RAJKOT,0,,7903169,000097138986,350115251223261,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,4,006315EC,,139.24,274.94,,4
0,P000100010000100001000000427,M000100010000100001007903172,4/11/2019 4:37:41 AM,DD RAJKOT,0,,7903172,000097139133,350115251223337,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,5,006315EF,,130.00,243.79,,5
0,P000100010000100001000000427,M000100010000100001007991704,4/11/2019 4:37:41 AM,DD RAJKOT,0,,7991704,000094885738,350115255073159,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,6,00647AE6,,117.33,216.53,,6
0,P000100010000100001000000427,M000100010000100001008018569,4/11/2019 4:37:41 AM,DD RAJKOT,0,,8018569,000104137112,350115237331774,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,7,0064E916,,154.95,259.73,,7
0,P000100010000100001000000427,M000100010000100001008023708,4/11/2019 4:37:41 AM,DD RAJKOT,0,,8023708,000097384952,350115251259885,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,8,0064FDB7,,117.33,216.53,,8
0,P000100010000100001000000427,M000100010000100001008028274,4/11/2019 4:37:41 AM,DD RAJKOT,0,,8028274,000094893963,350115255071195,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,10,0065145F,,135.61,250.17,,10
0,P000100010000100001000000427,M000100010000100001008028275,4/11/2019 4:37:41 AM,DD RAJKOT,0,,8028275,000094894003,350115255071203,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,11,00651460,,158.30,276.42,,11
0,P000100010000100001000000427,M000100010000100001008169184,4/11/2019 4:37:41 AM,DD RAJKOT,0,,8169184,000103385720,350115231392681,Active,NDS,-,-,LCORK680,M000100010000100001000018899,Dummy,12,006741E3,,117.33,216.53,,12
